"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:40:37,FALSE,NA,"936711659468533760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sefalconn",98,TRUE,FALSE,NA,NA
"2","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:40:33,FALSE,NA,"936711642338996227",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sefalconn",640,TRUE,FALSE,NA,NA
"3","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:40:28,FALSE,NA,"936711622734831616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Flacco2Raw",640,TRUE,FALSE,NA,NA
"4","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:40:28,FALSE,NA,"936711621212299265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Eliasxv3",98,TRUE,FALSE,NA,NA
"5","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:40:25,FALSE,NA,"936711610462277632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BeardSanityy",98,TRUE,FALSE,NA,NA
"6","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:40:22,FALSE,NA,"936711597669736448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BeardSanityy",640,TRUE,FALSE,NA,NA
"7","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:40:13,FALSE,NA,"936711558800998405",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RcarmonaHou",640,TRUE,FALSE,NA,NA
"8","RT @HoustonRockets: Congratulations Mike D’Antoni, your Western Conference Coach of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>
 
Full story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/hlOMO37OCB ht…",FALSE,0,NA,2017-12-01 21:40:13,FALSE,NA,"936711557140140033",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CurtisHanko",98,TRUE,FALSE,NA,NA
"9","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:40:07,FALSE,NA,"936711534897713154",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CurtisHanko",640,TRUE,FALSE,NA,NA
"10","RT @HoustonRockets: RT to congratulate @JHarden13 on being named Western Conference Player of the Month! <ed><U+00A0><U+00BD><ed><U+00BA><U+0080>

Full Story <ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>: https://t.co/QzCp…",FALSE,0,NA,2017-12-01 21:40:07,FALSE,NA,"936711531613556736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lone_staar",640,TRUE,FALSE,NA,NA
