"","name","url","query","woeid"
"1","#WorldAIDSDay","http://twitter.com/search?q=%23WorldAIDSDay","%23WorldAIDSDay","2459115"
"2","Trump","http://twitter.com/search?q=Trump","Trump","2459115"
"3","#jazz","http://twitter.com/search?q=%23jazz","%23jazz","2459115"
"4","Jay Z","http://twitter.com/search?q=%22Jay+Z%22","%22Jay+Z%22","2459115"
"5","Jimbo Fisher","http://twitter.com/search?q=%22Jimbo+Fisher%22","%22Jimbo+Fisher%22","2459115"
"6","#WorldCupDraw","http://twitter.com/search?q=%23WorldCupDraw","%23WorldCupDraw","2459115"
"7","Phillip Fulmer","http://twitter.com/search?q=%22Phillip+Fulmer%22","%22Phillip+Fulmer%22","2459115"
"8","#ReyDay","http://twitter.com/search?q=%23ReyDay","%23ReyDay","2459115"
"9","#December1st","http://twitter.com/search?q=%23December1st","%23December1st","2459115"
"10","SEC Media Days","http://twitter.com/search?q=%22SEC+Media+Days%22","%22SEC+Media+Days%22","2459115"
"11","Logan Act","http://twitter.com/search?q=%22Logan+Act%22","%22Logan+Act%22","2459115"
"12","Welington Castillo","http://twitter.com/search?q=%22Welington+Castillo%22","%22Welington+Castillo%22","2459115"
"13","Rosa Parks","http://twitter.com/search?q=%22Rosa+Parks%22","%22Rosa+Parks%22","2459115"
"14","Corey Crawford","http://twitter.com/search?q=%22Corey+Crawford%22","%22Corey+Crawford%22","2459115"
"15","Blake Farenthold","http://twitter.com/search?q=%22Blake+Farenthold%22","%22Blake+Farenthold%22","2459115"
"16","Pence","http://twitter.com/search?q=Pence","Pence","2459115"
"17","Geno Thorpe","http://twitter.com/search?q=%22Geno+Thorpe%22","%22Geno+Thorpe%22","2459115"
"18","Kyle Kuzma","http://twitter.com/search?q=%22Kyle+Kuzma%22","%22Kyle+Kuzma%22","2459115"
"19","Napoli","http://twitter.com/search?q=Napoli","Napoli","2459115"
"20","Willie Taggart","http://twitter.com/search?q=%22Willie+Taggart%22","%22Willie+Taggart%22","2459115"
"21","Greg Holland","http://twitter.com/search?q=%22Greg+Holland%22","%22Greg+Holland%22","2459115"
"22","Kislyak","http://twitter.com/search?q=Kislyak","Kislyak","2459115"
"23","ON SALE NOW","http://twitter.com/search?q=%22ON+SALE+NOW%22","%22ON+SALE+NOW%22","2459115"
"24","Barrett","http://twitter.com/search?q=Barrett","Barrett","2459115"
"25","Nanih Waiya","http://twitter.com/search?q=%22Nanih+Waiya%22","%22Nanih+Waiya%22","2459115"
"26","Vincent Scully","http://twitter.com/search?q=%22Vincent+Scully%22","%22Vincent+Scully%22","2459115"
"27","Kirby Smart","http://twitter.com/search?q=%22Kirby+Smart%22","%22Kirby+Smart%22","2459115"
"28","Charley Hoffman","http://twitter.com/search?q=%22Charley+Hoffman%22","%22Charley+Hoffman%22","2459115"
"29","I St","http://twitter.com/search?q=%22I+St%22","%22I+St%22","2459115"
"30","Lindsey Vonn","http://twitter.com/search?q=%22Lindsey+Vonn%22","%22Lindsey+Vonn%22","2459115"
"31","#FridayFeeling","http://twitter.com/search?q=%23FridayFeeling","%23FridayFeeling","2459115"
"32","#FlashbackFriday","http://twitter.com/search?q=%23FlashbackFriday","%23FlashbackFriday","2459115"
"33","#24DaysUntilXmasAnd","http://twitter.com/search?q=%2324DaysUntilXmasAnd","%2324DaysUntilXmasAnd","2459115"
"34","#SorteoMundial","http://twitter.com/search?q=%23SorteoMundial","%23SorteoMundial","2459115"
"35","#NewMusicFriday","http://twitter.com/search?q=%23NewMusicFriday","%23NewMusicFriday","2459115"
"36","#SurpriseAFilm","http://twitter.com/search?q=%23SurpriseAFilm","%23SurpriseAFilm","2459115"
"37","#ArchivesCrafty","http://twitter.com/search?q=%23ArchivesCrafty","%23ArchivesCrafty","2459115"
"38","#EdTechFTC","http://twitter.com/search?q=%23EdTechFTC","%23EdTechFTC","2459115"
"39","#NationalPieDay","http://twitter.com/search?q=%23NationalPieDay","%23NationalPieDay","2459115"
"40","#FunFactFriday","http://twitter.com/search?q=%23FunFactFriday","%23FunFactFriday","2459115"
"41","#ATLEdConvo","http://twitter.com/search?q=%23ATLEdConvo","%23ATLEdConvo","2459115"
"42","#ExplorePrEP","http://twitter.com/search?q=%23ExplorePrEP","%23ExplorePrEP","2459115"
